Date,Open,High,Low,Close,Adjusted Close,Volume,Symbol
2020-04-08,65.6900,66.8400,65.3100,66.5200,64.5700,168895284,AAPL
2020-04-09,67.1800,67.5200,66.1800,67.0000,65.0400,162116492,AAPL
2020-04-13,67.0800,68.4300,66.4600,68.3100,66.3100,131022924,AAPL
2020-04-14,70.0000,72.0600,69.5100,71.7600,69.6600,194994800,AAPL
2020-04-15,70.6000,71.5800,70.1600,71.1100,69.0300,131154564,AAPL
2020-04-16,71.8500,72.0500,70.5900,71.6700,69.5700,157125200,AAPL
2020-04-17,71.1700,71.7400,69.2200,70.7000,68.6300,215250000,AAPL
2020-04-20,69.4900,70.4200,69.2100,69.2300,67.2100,130015200,AAPL
2020-04-21,69.0700,69.3100,66.3600,67.0900,65.1300,180991600,AAPL
2020-04-22,68.4000,69.4700,68.0500,69.0300,67.0000,117057368,AAPL
2020-04-23,68.9700,70.4400,68.7200,68.7600,66.7400,124814400,AAPL
2020-04-24,69.3000,70.7500,69.2500,70.7400,68.6700,126508732,AAPL
2020-04-27,70.4500,71.1400,69.9900,70.7900,68.7200,117087600,AAPL
2020-04-28,71.2700,71.4600,69.5500,69.6500,67.6100,112004800,AAPL
2020-04-29,71.1800,72.4200,70.9700,71.9300,69.8300,137280816,AAPL
2020-04-30,72.4900,73.6300,72.0900,73.4500,71.3000,183064000,AAPL
2020-05-01,71.5600,74.7500,71.4600,72.2700,70.1500,240616800,AAPL
2020-05-04,72.2900,73.4200,71.5800,73.2900,71.1400,133568000,AAPL
2020-05-05,73.7700,75.2500,73.6100,74.3900,72.2100,147751200,AAPL
2020-05-06,75.1100,75.8100,74.7200,75.1600,72.9600,142333752,AAPL
2020-05-07,75.8100,76.2900,75.4900,75.9400,73.7100,115215200,AAPL
2020-05-08,76.4100,77.5900,76.0700,77.5300,75.4700,134047940,AAPL
2020-05-11,77.0300,79.2600,76.8100,78.7500,76.6500,145946400,AAPL
2020-05-12,79.4600,79.9200,77.7300,77.8500,75.7800,162301200,AAPL
2020-05-13,78.0400,78.9900,75.8000,76.9100,74.8600,200622556,AAPL
2020-05-14,76.1300,77.4500,75.3800,77.3900,75.3200,158929200,AAPL
2020-05-15,75.0900,76.9700,75.0500,76.9300,74.8800,166348400,AAPL
2020-05-18,78.2900,79.1300,77.5800,78.7400,76.6400,135372500,AAPL
2020-05-19,78.7600,79.6300,78.2500,78.2900,76.2000,101729600,AAPL
2020-05-20,79.1700,79.8800,79.0500,79.8100,77.6800,111504860,AAPL
2020-05-21,79.6700,80.2200,78.9700,79.2100,77.1000,102688844,AAPL
2020-05-22,78.9400,79.8100,78.8400,79.7200,77.6000,81803200,AAPL
2020-05-26,80.8800,81.0600,79.1300,79.1800,77.0700,125522000,AAPL
2020-05-27,79.0400,79.6800,78.2700,79.5300,77.4100,112945200,AAPL
2020-05-28,79.1900,80.8600,78.9100,79.5600,77.4400,133796412,AAPL
2020-05-29,79.8100,80.2900,79.1200,79.4900,77.3700,153598128,AAPL
2020-06-01,79.4400,80.5900,79.3000,80.4600,78.3200,81018612,AAPL
2020-06-02,80.1900,80.8600,79.7300,80.8300,78.6800,87642816,AAPL
2020-06-03,81.1700,81.5500,80.5800,81.2800,79.1100,104491216,AAPL
2020-06-04,81.1000,81.4100,80.1900,80.5800,78.4300,87560400,AAPL
2020-06-05,80.8400,82.9400,80.8100,82.8800,80.6700,137250400,AAPL
2020-06-08,82.5600,83.4000,81.8300,83.3700,81.1400,95654536,AAPL
2020-06-09,83.0400,86.4000,83.0000,86.0000,83.7100,147712400,AAPL
2020-06-10,86.9800,88.6900,86.5200,88.2100,85.8600,166651752,AAPL
2020-06-11,87.3300,87.7700,83.8700,83.9800,81.7400,201662452,AAPL
2020-06-12,86.1800,86.9500,83.5600,84.7000,82.4400,200146052,AAPL
2020-06-15,83.3100,86.4200,83.1500,85.7500,83.4600,138808920,AAPL
2020-06-16,87.8700,88.3000,86.1800,88.0200,85.6700,165428800,AAPL
2020-06-17,88.7900,88.8500,87.7700,87.9000,85.5500,114406504,AAPL
2020-06-18,87.8500,88.3600,87.3100,87.9300,85.5900,96820400,AAPL
2020-06-19,88.6600,89.1400,86.2900,87.4300,85.1000,264476000,AAPL
2020-06-22,87.8400,89.8700,87.7900,89.7200,87.3300,135445264,AAPL
2020-06-23,91.0000,93.1000,90.5700,91.6300,89.1900,212155600,AAPL
2020-06-24,91.2500,92.2000,89.6300,90.0200,87.6200,192623396,AAPL
2020-06-25,90.1800,91.2500,89.3900,91.2100,88.7800,137522512,AAPL
2020-06-26,91.1000,91.3300,88.2600,88.4100,86.0500,205256844,AAPL
2020-06-29,88.3100,90.5400,87.8200,90.4500,88.0300,130646076,AAPL
2020-06-30,90.0200,91.5000,90.0000,91.2000,88.7700,140223284,AAPL
2020-07-01,91.2800,91.8400,90.9800,91.0300,88.6000,110737236,AAPL
2020-07-02,91.9600,92.6200,90.9100,91.0300,88.6000,114041600,AAPL
2020-07-06,92.5000,93.9500,92.4700,93.4600,90.9700,118655652,AAPL
2020-07-07,93.8500,94.6600,93.0600,93.1700,90.6900,112424456,AAPL
2020-07-08,94.1800,95.3800,94.0900,95.3400,92.8000,117092000,AAPL
2020-07-09,96.2600,96.3200,94.6700,95.6800,93.1300,125642800,AAPL
2020-07-10,95.3400,95.9800,94.7100,95.9200,93.3600,90257320,AAPL
2020-07-13,97.2700,99.9600,95.2600,95.4800,92.9300,191649200,AAPL
2020-07-14,94.8400,97.2600,93.8800,97.0600,94.4700,170989364,AAPL
2020-07-15,98.9900,99.2500,96.4900,97.7300,95.1200,153198000,AAPL
2020-07-16,96.5600,97.4100,95.9100,96.5200,93.9500,110577672,AAPL
2020-07-17,96.9900,97.1500,95.8400,96.3300,93.7600,92186900,AAPL
2020-07-20,96.4200,98.5000,96.0600,98.3600,95.7400,90318000,AAPL
2020-07-21,99.1700,99.2500,96.7400,97.0000,94.4100,103645836,AAPL
2020-07-22,96.6900,97.9800,96.6000,97.2700,94.6800,89001652,AAPL
2020-07-23,97.0000,97.0800,92.0100,92.8500,90.3700,197004432,AAPL
2020-07-24,90.9900,92.9700,89.1500,92.6200,90.1500,185438864,AAPL
2020-07-27,93.7100,94.9100,93.4800,94.8100,92.2800,121214192,AAPL
2020-07-28,94.3700,94.5500,93.2500,93.2500,90.7700,103625600,AAPL
2020-07-29,93.7500,95.2300,93.7100,95.0400,92.5100,90329256,AAPL
2020-07-30,94.1900,96.3000,93.7700,96.1900,93.6300,158130020,AAPL
2020-07-31,102.8800,106.4200,100.8300,106.2600,103.4300,374336800,AAPL
2020-08-03,108.2000,111.6400,107.8900,108.9400,106.0300,308151388,AAPL
2020-08-04,109.1300,110.7900,108.3900,109.6700,106.7400,173071600,AAPL
2020-08-05,109.3800,110.3900,108.9000,110.0600,107.1300,121991952,AAPL
2020-08-06,110.4100,114.4100,109.8000,113.9000,110.8700,202428900,AAPL
2020-08-07,113.2100,113.6800,110.2900,111.1100,108.3500,198045612,AAPL
2020-08-10,112.6000,113.7800,110.0000,112.7300,109.9200,212403600,AAPL
