Date,Open,High,Low,Close,Adjusted Close,Volume,Symbol
2020-04-08,60.1600,60.7500,59.2000,60.3500,60.0600,40334260,GOOGL
2020-04-09,60.9100,61.1000,59.6200,60.3300,60.0400,54028460,GOOGL
2020-04-13,60.0800,60.7300,59.1200,60.5200,60.2300,38702560,GOOGL
2020-04-14,62.0000,63.7900,61.4300,63.2600,62.9600,63358000,GOOGL
2020-04-15,62.3300,63.7600,61.7000,62.8700,62.5700,42236840,GOOGL
2020-04-16,63.3600,63.6700,61.9100,62.8700,62.5700,57896000,GOOGL
2020-04-17,64.0800,64.5000,63.3000,63.9500,63.6500,51056480,GOOGL
2020-04-20,63.4900,63.8400,62.8200,63.0600,62.7600,35292160,GOOGL
2020-04-21,62.1400,62.5000,60.2500,60.6100,60.3200,49648080,GOOGL
2020-04-22,62.0600,63.9900,61.8600,62.9200,62.6200,46315840,GOOGL
2020-04-23,63.2900,64.4100,63.0300,63.5600,63.2600,34202440,GOOGL
2020-04-24,62.7500,63.8900,62.2000,63.8300,63.5300,37440080,GOOGL
2020-04-27,64.6000,64.7100,63.2500,63.5400,63.2400,44186660,GOOGL
2020-04-28,64.1600,64.2400,61.5200,61.6300,61.3400,80700140,GOOGL
2020-04-29,67.2500,68.0100,66.3400,67.1100,66.7900,108358000,GOOGL
2020-04-30,66.5700,67.5000,66.0800,67.3300,67.0100,55842480,GOOGL
2020-05-01,66.2000,67.5700,65.4800,65.8700,65.5500,48872000,GOOGL
2020-05-04,65.4100,66.2200,64.8000,66.1500,65.8300,30806940,GOOGL
2020-05-05,66.8800,68.5500,66.7500,67.4500,67.1300,39666360,GOOGL
2020-05-06,67.9000,68.4300,67.2600,67.2700,66.9500,31732580,GOOGL
2020-05-07,68.0700,68.8000,67.6300,68.4600,68.1400,30716380,GOOGL
2020-05-08,69.0900,69.8300,68.6000,69.2200,68.8900,33329740,GOOGL
2020-05-11,68.8400,70.7800,68.7800,70.1800,69.8500,32718000,GOOGL
2020-05-12,70.4100,70.7200,68.7300,68.7600,68.4300,33918000,GOOGL
2020-05-13,68.8100,69.2700,66.4000,67.4200,67.1000,40368080,GOOGL
2020-05-14,66.6800,67.8700,66.1700,67.8400,67.5200,36660340,GOOGL
2020-05-15,67.4100,68.7300,66.9500,68.6500,68.3300,41544000,GOOGL
2020-05-18,68.0800,69.6400,67.7100,69.2600,68.9300,47128980,GOOGL
2020-05-19,69.2700,69.6200,68.6900,68.7200,68.3900,31586000,GOOGL
2020-05-20,69.4600,70.6000,69.3700,70.4600,70.1200,38262660,GOOGL
2020-05-21,70.5500,70.8200,69.7200,70.3400,70.0000,30899520,GOOGL
2020-05-22,70.1900,70.8500,69.8000,70.6600,70.3300,28544120,GOOGL
2020-05-26,72.1000,72.2600,70.9700,71.0700,70.7300,44590000,GOOGL
2020-05-27,71.0000,71.2700,69.7300,71.0100,70.6800,31684000,GOOGL
2020-05-28,70.0000,72.2200,69.9500,70.9100,70.5700,35195740,GOOGL
2020-05-29,71.0200,71.8400,70.8000,71.6800,71.3300,37050440,GOOGL
2020-06-01,71.2900,72.0800,71.1100,71.7400,71.4000,25185080,GOOGL
2020-06-02,71.7500,72.1500,71.0800,72.1200,71.7700,23442000,GOOGL
2020-06-03,72.1400,72.4500,71.5800,71.9600,71.6200,27732800,GOOGL
2020-06-04,71.8400,72.0700,70.3000,70.7200,70.3800,26982100,GOOGL
2020-06-05,70.7800,72.3200,70.3800,72.0000,71.6600,42647000,GOOGL
2020-06-08,71.3100,72.4500,71.2200,72.4000,72.0600,33878000,GOOGL
2020-06-09,72.2600,73.3900,72.1200,72.6000,72.2600,33624000,GOOGL
2020-06-10,73.0800,73.6400,72.7200,73.2400,72.8900,31762320,GOOGL
2020-06-11,72.0500,72.5800,69.9200,70.1000,69.7600,47144860,GOOGL
2020-06-12,71.2900,71.7300,69.2900,70.6500,70.3100,36676000,GOOGL
2020-06-15,69.4700,71.2500,69.3600,71.0400,70.7000,30553040,GOOGL
2020-06-16,72.4500,72.8600,71.4500,72.3200,71.9800,30696520,GOOGL
2020-06-17,72.6500,73.1100,71.7600,72.6300,72.2800,30610000,GOOGL
2020-06-18,72.4900,72.6500,71.3100,71.7100,71.3600,34862000,GOOGL
2020-06-19,72.0000,72.2200,70.9500,71.2300,70.8900,52784000,GOOGL
2020-06-22,71.2500,72.5500,70.9600,72.5300,72.1900,29442000,GOOGL
2020-06-23,72.6000,73.7600,72.2500,73.2000,72.8500,37752000,GOOGL
2020-06-24,73.1600,73.7900,71.5000,71.6400,71.2900,31592000,GOOGL
2020-06-25,71.5600,72.1200,70.9800,72.0600,71.7100,23958140,GOOGL
2020-06-26,71.6300,71.8500,67.7500,68.1300,67.8000,97640280,GOOGL
2020-06-29,68.0200,69.9000,67.5800,69.8600,69.5300,45074000,GOOGL
2020-06-30,69.8400,71.2000,69.3500,70.9000,70.5700,40286400,GOOGL
2020-07-01,70.9600,72.4200,70.7100,72.1000,71.7600,42182480,GOOGL
2020-07-02,72.5900,74.4300,72.5500,73.5000,73.1500,57218299,GOOGL
2020-07-06,74.4100,75.5000,73.8500,74.9800,74.6300,44712600,GOOGL
2020-07-07,74.8100,76.0700,74.4900,74.5000,74.1400,42364000,GOOGL
2020-07-08,75.0400,75.5600,74.6100,75.1800,74.8200,31766000,GOOGL
2020-07-09,75.5000,76.4600,74.7800,75.9300,75.5700,41836660,GOOGL
2020-07-10,75.6600,77.0700,75.0400,76.9500,76.5800,35921260,GOOGL
2020-07-13,77.5000,78.8200,75.3300,75.6100,75.2500,42954560,GOOGL
2020-07-14,74.6400,76.1400,74.3000,76.0400,75.6800,38108000,GOOGL
2020-07-15,76.1600,76.8200,74.8900,75.8400,75.4800,31026500,GOOGL
2020-07-16,75.0800,75.8000,74.4100,75.7500,75.3900,26484540,GOOGL
2020-07-17,75.8500,76.1700,74.9100,75.8400,75.4800,34264620,GOOGL
2020-07-20,75.7500,78.4500,75.1300,78.1900,77.8200,30166000,GOOGL
2020-07-21,79.2500,79.3500,77.6300,77.8000,77.4300,27554360,GOOGL
2020-07-22,77.7900,78.3500,77.1600,78.2400,77.8700,24482000,GOOGL
2020-07-23,78.3000,78.5200,75.4300,75.8400,75.4800,33910000,GOOGL
2020-07-24,74.9600,75.7700,74.3800,75.4100,75.0500,29907620,GOOGL
2020-07-27,75.6600,76.8800,75.6200,76.4700,76.1100,27124000,GOOGL
2020-07-28,76.2500,76.3000,75.0300,75.1800,74.8200,30910680,GOOGL
2020-07-29,75.2500,76.6700,75.1500,76.1800,75.8100,22676000,GOOGL
2020-07-30,74.9000,77.0400,74.7600,76.9200,76.5500,36042420,GOOGL
2020-07-31,74.8500,75.2500,72.7000,74.4000,74.0400,91527640,GOOGL
2020-08-03,74.5500,74.8900,73.5900,74.1400,73.7900,45521700,GOOGL
2020-08-04,74.3400,74.6600,73.2000,73.6700,73.3100,37212180,GOOGL
2020-08-05,73.8400,74.5000,73.5600,73.9500,73.6000,29150360,GOOGL
2020-08-06,73.8100,75.3100,73.6000,75.2500,74.8900,33306000,GOOGL
2020-08-07,75.4500,76.0000,74.3100,74.9200,74.5600,27725880,GOOGL
2020-08-10,74.5400,75.3600,73.8700,74.8400,74.4800,20546580,GOOGL
2020-08-11,74.7000,75.5200,73.9100,74.0300,73.6700,31098000,GOOGL
2020-08-12,74.3600,75.5800,74.2500,75.3600,75.0000,22531200,GOOGL
2020-08-13,75.4100,76.8500,75.4100,75.8300,75.4700,22394220,GOOGL
2020-08-14,75.6800,75.9900,74.9500,75.2300,74.8700,21942000,GOOGL
2020-08-17,75.8000,76.1900,75.2500,75.8100,75.4500,19998680,GOOGL
2020-08-18,76.3100,77.8700,76.0800,77.7900,77.4200,28378000,GOOGL
2020-08-19,77.6200,78.4400,77.0000,77.2300,76.8600,30472000,GOOGL
2020-08-20,77.0000,79.0100,76.7200,78.8100,78.4400,26382620,GOOGL
2020-08-21,78.5900,79.5900,78.1200,78.7800,78.4000,34845500,GOOGL
2020-08-24,79.6200,80.4400,78.7500,79.2600,78.8800,25638000,GOOGL
2020-08-25,79.0100,80.4400,78.8900,80.2900,79.9100,25150000,GOOGL
2020-08-26,80.3200,82.6400,80.0500,82.2100,81.8200,52188000,GOOGL
2020-08-27,82.3300,82.4000,80.9400,81.4300,81.0400,31350060,GOOGL
2020-08-28,81.4700,82.0700,81.2800,81.9700,81.5800,22423900,GOOGL
2020-08-31,82.1800,82.2300,81.2700,81.4800,81.0900,26422000,GOOGL
2020-09-01,81.6100,82.9600,81.4800,82.7500,82.3600,22675320,GOOGL
2020-09-02,83.4000,86.3100,83.0100,85.8700,85.4600,49522000,GOOGL
2020-09-03,84.9800,85.0000,80.3900,81.4800,81.0900,63726000,GOOGL
2020-09-04,80.4500,81.7500,76.9000,79.0600,78.6800,55850660,GOOGL
2020-09-08,76.2500,77.7800,75.8300,76.1800,75.8200,54032000,GOOGL
2020-09-09,77.4400,77.9400,76.2600,77.3600,76.9900,39242000,GOOGL
2020-09-10,77.5100,78.6800,76.0000,76.3000,75.9400,33024000,GOOGL
2020-09-11,76.4100,76.9300,74.6500,75.7900,75.4300,30706740,GOOGL
2020-09-14,76.5800,77.8500,75.2600,75.4400,75.0800,42660140,GOOGL
2020-09-15,76.3900,77.5500,76.1100,76.7600,76.3900,23042000,GOOGL
2020-09-16,77.1200,77.7200,75.5800,75.6000,75.2400,22143380,GOOGL
2020-09-17,74.2900,74.9300,73.1200,74.3500,74.0000,40008000,GOOGL
2020-09-18,74.4200,74.7600,71.5800,72.5500,72.2100,63056000,GOOGL
2020-09-21,71.5800,72.0000,70.1300,71.5100,71.1700,56908099,GOOGL
2020-09-22,72.5200,73.2000,71.4700,72.9900,72.6400,33950840,GOOGL
2020-09-23,72.6000,72.6500,70.1300,70.4700,70.1300,37726000,GOOGL
2020-09-24,70.1300,71.9000,70.1100,71.1400,70.8000,34552220,GOOGL
2020-09-25,71.2500,72.3000,70.3800,71.9500,71.6100,30333540,GOOGL
2020-09-28,73.6000,73.6500,72.3100,72.9300,72.5900,30784720,GOOGL
2020-09-29,73.2000,73.6000,72.7000,73.3000,72.9500,31822240,GOOGL
2020-09-30,73.0500,74.3100,72.7900,73.2800,72.9300,40924000,GOOGL
2020-10-01,74.1800,74.7500,73.8400,74.4000,74.0400,32884420,GOOGL
2020-10-02,72.9800,73.9500,72.3700,72.7800,72.4300,31222640,GOOGL
2020-10-05,73.1300,74.2400,73.0000,74.1400,73.7900,21602000,GOOGL
2020-10-06,73.7800,74.2300,72.2500,72.5500,72.2100,26096000,GOOGL
2020-10-07,72.9700,73.4500,71.6600,72.9600,72.6100,36108960,GOOGL
2020-10-08,73.2700,74.4000,73.2700,74.1700,73.8200,26076040,GOOGL
2020-10-09,74.6400,75.5900,74.3500,75.5200,75.1600,32966800,GOOGL
2020-10-12,76.9000,79.4200,76.4700,78.2300,77.8600,55344000,GOOGL
2020-10-13,78.8500,79.2600,77.9300,78.3500,77.9800,39072180,GOOGL
2020-10-14,78.7300,79.1900,77.2900,78.1700,77.8000,33184560,GOOGL
2020-10-15,77.2200,78.5700,77.0600,77.7700,77.4000,31229700,GOOGL
2020-10-16,78.0900,78.8900,77.8800,78.3900,78.0100,34206500,GOOGL
2020-10-19,78.8000,79.2000,76.1500,76.5000,76.1300,29734000,GOOGL
2020-10-20,76.1600,78.6900,76.0300,77.5500,77.1800,41718300,GOOGL
2020-10-21,78.4900,80.7600,78.3600,79.3000,78.9200,60322000,GOOGL
2020-10-22,79.2500,80.6700,78.8700,80.3300,79.9500,30515460,GOOGL
2020-10-23,80.7500,81.7100,80.6000,81.6500,81.2600,30548040,GOOGL
2020-10-26,80.7500,81.4800,78.3900,79.2100,78.8400,35826340,GOOGL
2020-10-27,79.4500,80.1000,78.8500,79.9400,79.5600,25902760,GOOGL
2020-10-28,77.5000,77.6900,75.4200,75.5400,75.1800,45174000,GOOGL
2020-10-29,75.8500,79.4400,75.8300,77.8400,77.4700,55406860,GOOGL
2020-10-30,83.3700,84.0700,80.0800,80.8100,80.4200,99923940,GOOGL
2020-11-02,81.1800,82.9100,80.7100,81.2200,80.8300,44228980,GOOGL
2020-11-03,81.5400,82.9500,80.6100,82.2800,81.8900,31432820,GOOGL
2020-11-04,85.2800,88.5000,85.1500,87.2900,86.8800,71342980,GOOGL
2020-11-05,88.5200,89.5900,87.0500,88.1300,87.7100,39758140,GOOGL
2020-11-06,87.5700,88.4200,86.8300,87.9900,87.5700,28622000,GOOGL
2020-11-09,89.8000,90.8400,87.8800,88.0700,87.6500,53440480,GOOGL
2020-11-10,86.4900,87.9700,85.8100,86.8900,86.4700,43022000,GOOGL
2020-11-11,87.4200,88.1500,87.1500,87.3600,86.9500,31838120,GOOGL
2020-11-12,87.1000,88.2500,86.9000,87.1400,86.7300,26487260,GOOGL
2020-11-13,87.4000,88.8600,86.8000,88.6100,88.1900,29757540,GOOGL
2020-11-16,88.2100,89.7200,88.0700,88.7000,88.2800,25468000,GOOGL
2020-11-17,88.3900,88.8600,87.9700,88.0800,87.6600,21320680,GOOGL
2020-11-18,87.8300,88.2500,86.9300,87.0300,86.6200,20108000,GOOGL
2020-11-19,86.6600,88.1700,86.5000,87.9300,87.5100,20106800,GOOGL
2020-11-20,88.1000,88.4200,86.7500,86.8200,86.4100,27706440,GOOGL
2020-11-23,87.0100,87.3000,85.5100,86.3800,85.9700,22552360,GOOGL
2020-11-24,86.3800,88.3200,86.0400,88.2000,87.7800,28006120,GOOGL
2020-11-25,88.3900,88.5200,87.4200,88.2100,87.7900,19600000,GOOGL
2020-11-27,88.2300,89.8500,88.2300,89.3500,88.9300,14790140,GOOGL
2020-11-30,88.7800,89.0200,87.3900,87.7200,87.3000,32418000,GOOGL
2020-12-01,88.3300,91.0900,88.1500,89.7700,89.3400,37362680,GOOGL
2020-12-02,89.7700,91.6400,89.2600,91.2500,90.8100,29424700,GOOGL
2020-12-03,91.0300,92.1900,90.8500,91.0900,90.6600,24728000,GOOGL
2020-12-04,91.0100,91.4700,90.6800,91.1900,90.7500,20544840,GOOGL
2020-12-07,90.7800,91.4600,90.1500,90.8500,90.4200,22288000,GOOGL
2020-12-08,90.4300,90.8000,89.5600,90.5700,90.1400,19936000,GOOGL
2020-12-09,90.5200,91.4200,88.1000,88.8900,88.4700,31728520,GOOGL
2020-12-10,88.1300,88.7500,86.6800,88.3800,87.9600,28688320,GOOGL
